Date,Salinity (ppt),DissolvedOxygen (mg/L),pH,SecchiDepth (m),WaterDepth (m),WaterTemp (C),AirTemp (C)
9/4/2003,0,,6.5,0.8,0.9,29,28.33333333
9/4/2003,4,3.7,7,0.5,0.75,27,27.72222222
9/4/2003,0,4.7,6.5,0.5,1.5,28,27.77777778
9/4/2003,0,4.7,7,0.15,0.15,27,28.33333333
10/2/2003,0,5.6,6.5,0.6,0.9,20,17.77777778
10/2/2003,0.5,5.5,7,0.15,0.15,18,17.77777778
10/2/2003,1,,7,0.6,0.6,20,17.77777778
10/2/2003,1,6,6.5,0.5,0.7,,17.77777778
10/2/2003,1,,6.5,0.5,1.6,19,17.77777778
10/23/2003,1,5.6,7.5,0.15,0.15,14,14.44444444
10/23/2003,1,,8,0.2,0.2,11,14.44444444
10/23/2003,1,5.8,6.5,0.4,0.55,14,13.88888889
10/23/2003,,,,0.5,0.8,,14.44444444
10/23/2003,1,4.4,6.5,1.1,1.5,14,13.88888889
11/6/2003,1,6.5,6.5,0.75,0.75,23,24.61111111
11/6/2003,1,,7,0.3,0.3,24,24.44444444
11/6/2003,1,4.7,7,0.15,0.15,25,24.44444444
11/6/2003,0,2.9,6.5,0.1,0.8,24,24.44444444
11/20/2003,,7.6,7.5,0.2,0.2,,13.33333333
11/20/2003,3,8.8,6.5,0.4,0.6,14,13.33333333
11/20/2003,1,,7.5,0.5,0.7,14,13.33333333
11/20/2003,1,,8,0.2,0.2,13.5,13.33333333
11/20/2003,1,6.5,6.5,1.2,1.4,14.5,13.33333333
12/1/2003,1,,7.5,0.25,0.25,13,15
12/1/2003,1,,6,1.5,1.5,11,15
12/1/2003,1,8.8,7.5,0.75,0.2,12,14.44444444
12/1/2003,3,8.7,6.5,0.2,0.75,11,14.44444444
12/1/2003,1,8.1,7,0.45,0.8,,15
12/15/2003,2,,7,0.7,0.95,9,8.888888889
12/15/2003,2,7.1,6,1.5,1.7,12,8.888888889
12/15/2003,,6.8,7,0.5,0.5,8,8.888888889
12/15/2003,2,,7,0.3,0.3,9,8.888888889
12/15/2003,2,6.9,6,0.4,0.7,8,8.333333333
1/4/2004,1,8.5,7,0.2,0.2,4,0.555555556
1/4/2004,1,,7,0.5,0.5,5,0.555555556
1/4/2004,1,,6.5,1.1,1.1,5,0.555555556
1/4/2004,1,8.5,7,0.65,1.05,5,0.555555556
1/9/2004,1,8.2,6.5,0.4,0.4,6,0.555555556
1/20/2004,2,,8,0.2,0.2,3,4.444444444
1/20/2004,2,10,,0.5,0.5,3,4.444444444
1/20/2004,0,10,6.5,1.4,1.4,4,4.444444444
1/20/2004,2,,7,0.6,0.9,4,4.444444444
1/20/2004,1,9.5,6.5,0.2,0.3,7,4.444444444
2/5/2004,1,6.6,7,0.25,0.25,5,6.111111111
2/5/2004,1,7,7,0.8,1.1,60,6.111111111
2/5/2004,1,,7,0.6,0.6,7,6.111111111
2/5/2004,1,,6,1.5,1.5,5,6.111111111
2/5/2004,0,5.9,6.5,0.2,0.25,15.5,6.111111111
2/19/2004,1,,7,0.3,0.3,6.5,-11.94444444
2/19/2004,1,7.5,7,0.1,0.1,6,2.777777778
2/19/2004,1,,7,0.7,1.2,8,-9.722222222
2/19/2004,1,9.1,7,0.5,0.6,6,-11.38888889
2/19/2004,1,10.1,6.5,1.5,1.5,6,2.777777778
3/4/2004,1,3.7,6.5,0.1,0.5,15,17.77777778
3/4/2004,0,,7,0.6,0.6,17,-5.555555556
3/4/2004,0,5.4,7,0.2,0.2,16,18.33333333
3/4/2004,0,7.5,7,1,1.2,16,17.77777778
3/4/2004,0,,6.5,1.2,1.2,18,-6.111111111
3/18/2004,1,6.7,7,0.6,0.6,10,7.222222222
3/18/2004,1,,7,0.3,0.3,9,6.111111111
3/18/2004,1,,7,1,1.2,10,4.444444444
3/18/2004,1,8.4,6.5,1,1.5,,6.666666667
3/18/2004,0,7.7,6.5,0.2,0.45,9,6.277777778
4/1/2004,0,7.6,7,0.1,0.1,14,11.38888889
4/1/2004,0,6.7,7,0.6,1,13,12.22222222
4/1/2004,1,,6.5,1,1.6,12,12.77777778
4/1/2004,1,,7,0.6,0.6,12,12.77777778
4/1/2004,1,7.2,8,0.3,0.3,13,12.22222222
4/16/2004,1,7.4,7.5,0.4,0.4,14,11.11111111
4/16/2004,1,5.7,6.5,0.2,0.5,13,11.11111111
4/16/2004,1,,7,0.8,0.9,,11.66666667
4/16/2004,1,5.8,6.5,0.9,1.5,14,11.11111111
4/16/2004,1,,8,0.2,0.2,13,11.66666667
4/29/2004,0,4.9,6.5,1.1,1.35,19,16.66666667
4/29/2004,0,7.1,6.5,0.35,0.45,16,16.66666667
4/29/2004,0,,7.5,0.7,0.7,22,17.77777778
4/29/2004,0,,8.5,0.1,0.1,22,17.22222222
4/29/2004,0,2.8,7,0.3,0.3,,17.22222222
5/13/2004,0,3.9,6,0.7,0.8,26,25
5/13/2004,0,,7,1,1.4,28,25.55555556
5/13/2004,0,3.1,9,0.2,0.2,28,-3.333333333
5/13/2004,0,5.6,6.5,0.4,0.75,,24.22222222
5/13/2004,2,,7,0.4,0.4,27,25.55555556
6/3/2004,0,,6.5,,,26,27.22222222
6/3/2004,0,4.2,7.5,0.3,0.3,26,26.66666667
6/3/2004,0,4.8,6.5,0.5,0.7,26,25
6/3/2004,0,,8,0.1,0.1,27,26.66666667
6/3/2004,0,4.5,6.5,0.7,1.3,26,25.55555556
6/17/2004,0,,7,0.4,0.4,25,26.11111111
6/17/2004,0,2.9,6.5,0.5,0.5,26,25
6/17/2004,0,,7,0.1,0.1,26,25.55555556
6/17/2004,0,3.3,6.5,0.5,0.8,25,25
6/17/2004,0,,6.5,0.6,1.5,,26.66666667
7/8/2004,0,2.6,6.5,0.6,1.65,29,25.55555556
7/8/2004,0,3,7.5,0.5,0.5,29,26.66666667
7/8/2004,1,4.7,6.5,0.5,0.6,27,25
7/8/2004,0,,6.5,1,1,29,26.66666667
7/8/2004,0,,7,0.2,0.2,29,26.66666667
7/22/2004,0,3.1,8,0.1,0.1,28.5,27.22222222
7/22/2004,0,,7,0.55,0.55,30,27.22222222
7/22/2004,2,3.1,6.5,0.5,0.55,27,26.11111111
7/22/2004,0,,6.5,0.5,1.5,30,27.77777778
8/5/2004,0,3.1,6.5,0.5,1.6,28,27.77777778
8/5/2004,0,3.15,6.5,0.55,0.6,27,27.5
8/5/2004,0,,7,0.25,0.25,32,28.33333333
8/5/2004,0,,6.5,0.95,1.15,30,28.33333333
8/5/2004,0,2.9,6.5,0.6,0.6,29,28.33333333
8/19/2004,0,,6.5,0.8,1.5,29,28.33333333
8/19/2004,0,2.8,6.5,0.2,0.2,28,27.77777778
8/19/2004,0,,6.5,0.7,0.7,28,27.77777778
8/19/2004,0,3,6.5,0.95,0.95,27,26.66666667
8/19/2004,0,4.75,6.5,0.4,0.8,26,26.61111111
9/2/2004,0,,6.5,0.8,0.8,26,26.66666667
9/2/2004,0,3,6.5,0.4,1.4,25.2,25.55555556
9/2/2004,0,,6.5,0.1,0.1,26,26.11111111
9/2/2004,0,3.6,7,0.3,0.3,,26.66666667
9/2/2004,0,5.2,6.5,0.4,0.6,24,25.55555556
9/16/2004,0,4,6.5,0.45,0.65,24,-1.666666667
9/16/2004,0,,7,0.25,0.25,27,-1.111111111
9/16/2004,0,,6.5,0.9,1.5,26,-1.111111111
9/16/2004,0,3.7,7,0.2,0.2,26,-1.666666667
9/16/2004,0,3.6,6.5,0.4,0.8,26,-1.666666667
10/1/2004,1,4.3,7,0.4,0.7,23,22.11111111
10/1/2004,1,,0.7,0.4,0.7,24,22.22222222
10/1/2004,0,6.4,6.5,0.6,1.5,24,22.22222222
10/1/2004,0,5.3,7.5,0.3,0.3,23,22.22222222
10/1/2004,0,,8,0.15,0.15,23,22.22222222
10/21/2004,1,,6.5,1,1.5,16,17.22222222
10/21/2004,1,5.8,6.5,0.6,0.7,18,17.22222222
10/21/2004,2,4.5,7,0.3,0.3,17,17.22222222
10/21/2004,2,,7,0.5,0.5,17,17.22222222
10/21/2004,1,3.3,6.5,0.8,0.8,17,17.22222222
11/5/2004,0,5.5,6.5,1.2,1.4,,13.88888889
11/5/2004,0,,7,0.25,0.25,15,14.44444444
11/5/2004,1,5.9,6.5,0.5,0.6,14,13.88888889
11/5/2004,0,,7,0.7,0.8,16,13.88888889
11/5/2004,0,6.2,7,0.5,0.5,15,13.88888889
11/18/2004,0,5.9,6.5,0.5,0.5,11,10.55555556
11/18/2004,0,5.3,7,0.2,0.2,11,-17.77777778
11/18/2004,0,8,7,0.6,0.6,10,10.55555556
11/18/2004,0,,7,0.5,0.5,11,11.66666667
11/18/2004,0,,6.5,1.4,1.4,12,11.66666667
12/2/2004,1,4.2,7,0.5,0.5,12,12.77777778
12/2/2004,0,6.3,6.5,0.4,0.65,11,12
12/2/2004,1,,7.5,0.2,0.2,13,12.77777778
12/2/2004,0,,7,1.6,1.8,13,13.33333333
12/2/2004,0,7.25,6.5,1.5,1.5,12,12.22222222
12/16/2004,2,5.2,6.5,0.3,0.3,4,0.555555556
12/16/2004,3,,7,0.5,0.5,4,1.666666667
12/16/2004,,3,6.5,1.5,1.5,5,1.666666667
12/16/2004,4,5.7,7.5,0.2,0.2,4,1.666666667
12/16/2004,2,6.3,7,0.9,1,5,1.111111111
1/6/2005,0,,7,0.2,0.2,13,15
1/6/2005,0,,6.5,1,1,12,15
1/6/2005,0,7.6,6.5,1.4,1.4,13,14.44444444
1/6/2005,1,4.3,7,0.4,0.4,13,14.44444444
1/6/2005,1,5.9,6,0.4,0.5,12,14.27777778
2/3/2005,0,,6.5,1.1,1.45,7.2,3.333333333
2/3/2005,0,,7,0.6,0.6,4.5,3.333333333
2/3/2005,0,6.7,7,0.3,0.3,34.5,3.333333333
2/3/2005,0,7.3,6.5,0.15,0.15,6,3
2/3/2005,0,5.5,7,0.8,0.8,5,3.333333333
2/17/2005,2,,7,,,10,7.222222222
2/17/2005,0,6.6,6.5,1.3,1.5,10,6.666666667
2/17/2005,1,5.3,7,0.6,0.6,12,7.222222222
2/17/2005,2,,7,1,1,10,7.222222222
2/17/2005,0,6.3,6.5,0.3,0.5,9,6.666666667
3/3/2005,2,,7,0.6,0.6,5,1.111111111
3/3/2005,1,,6.5,1.5,1.6,6,1.666666667
3/3/2005,1,,6.5,0.2,0.45,5,-17.77777778
3/3/2005,2,5.3,7,0.3,0.3,5,1.111111111
3/3/2005,1,6.2,7,1.1,1.1,5,1.111111111
3/10/2005,2,,7.5,0.4,0.4,7,7.222222222
3/10/2005,1,6.9,7,0.7,0.7,6,7.222222222
3/10/2005,1,7.4,6,0.2,0.4,6,6.666666667
3/10/2005,1,7.7,6.5,1.2,1.4,6,6.666666667
3/10/2005,1,,7,0.7,0.7,0.7,7.222222222
4/21/2005,0,,8,0.6,0.6,21,21.66666667
4/21/2005,0,3.3,7,0.3,0.9,19,21.11111111
4/21/2005,0,5.2,6,0.2,0.5,19,21.11111111
4/21/2005,0,5.4,8.5,0.2,0.2,20,21.66666667
4/21/2005,0,,6.5,1.1,1.4,21,22.22222222
5/5/2005,0,6.9,6.5,0.4,0.4,15,14.44444444
5/5/2005,0,,8,0.1,0.1,17,12.22222222
5/5/2005,0,,7,0.6,0.6,17,12.22222222
5/5/2005,0,4.8,8,0.6,0.6,,14.44444444
5/5/2005,0,5.2,6.5,1,1.4,17,14.44444444
5/24/2005,0,6.3,6.5,0.4,0.6,20,16.11111111
5/24/2005,0,,7.5,0.7,0.7,21,16.66666667
5/24/2005,0,6,9,0.1,0.1,20,16.66666667
5/24/2005,0,4.7,7,0.6,0.75,20,16.66666667
5/24/2005,0,,6.5,0.8,1.5,,16.66666667
6/3/2005,0,6.6,6.5,0.6,0.7,18,17.22222222
6/3/2005,0,5,6.5,1,1.5,18,17.22222222
6/3/2005,0,4.4,8,0.7,0.7,18,17.77777778
6/16/2005,,5.4,7,0.55,0.65,30,30.77777778
6/16/2005,0,,9,0.95,,35,31.66666667
6/16/2005,0,4.3,6.5,0.8,1.4,34,31.11111111
6/16/2005,0,,8,0.7,0.85,31,31.11111111
6/16/2005,0,4.8,8.5,0.6,0.6,34,31.11111111
7/1/2005,0,4.3,6.5,0.07,0.07,27,-17.77777778
7/1/2005,0,2.7,6.5,0.9,1.3,30,-17.77777778
7/1/2005,0,,7,0.8,0.8,30,-17.77777778
7/1/2005,0,5.1,8.5,0.6,0.6,31,-17.77777778
7/1/2005,0,,8,0.3,0.3,30,-17.77777778
7/14/2005,0,,6.5,0.6,0.6,32,-17.77777778
7/14/2005,0,2.2,6,0.8,0.8,28,-17.77777778
7/14/2005,0,3.6,6,0.6,0.7,25,-2.777777778
7/14/2005,0,,7.5,0.9,1.3,30,-17.77777778
7/14/2005,0,3.5,6,0.1,0.1,28,-17.77777778
7/21/2005,0,5.7,6,0.6,0.6,28,28.33333333
7/21/2005,0,4.3,6.5,0.7,1.5,32,28.33333333
8/11/2005,0,5.2,7.5,0.1,0.1,32,30
8/11/2005,0,,7,1,1.4,32,30
8/11/2005,0,3.7,6.5,0.6,0.6,27,29.44444444
8/11/2005,0,2.9,6.5,0.4,0.8,31,29.44444444
8/11/2005,0,,7,0.6,0.6,31,30
8/24/2005,0,,7,0.5,0.7,27,22.77777778
8/24/2005,0,2.5,,0.7,1.5,27,22.77777778
8/24/2005,0,4.9,6,0.45,0.45,25,22.77777778
8/24/2005,0,3.6,7,0.3,0.3,25,22.77777778
8/24/2005,0,,7.5,0.2,0.2,27,22.77777778
9/8/2005,0,2.4,7,0.1,0.1,26,23.33333333
9/8/2005,0,,8,0.1,0.1,25,23.33333333
9/8/2005,0,4.2,7,0.3,0.5,,22.77777778
9/8/2005,0,,6.5,0.9,1.4,24,23.33333333
9/8/2005,0,5,6.5,0.1,0.1,74,24.44444444
9/22/2005,0,,6.5,0.1,0.1,27,25.55555556
9/22/2005,0,3.9,6.5,0.7,1,26,25.55555556
9/22/2005,0,,6.5,0.3,0.5,26,26.11111111
9/22/2005,0,2.6,6.5,0.2,0.2,25,25.55555556
9/22/2005,0,4.3,6,0.5,0.7,25,25.55555556
10/7/2005,0,,6.5,,,25,25
10/7/2005,0,,6.5,0.7,1.1,25,25
10/7/2005,0,3.4,6.5,0.6,0.8,24,25
10/7/2005,0,5.3,6.5,0.6,0.7,24,22.22222222
10/7/2005,0,4.5,7,0.1,0.1,25,25
10/27/2005,0,6.2,6.5,0.5,0.5,16,10.55555556
10/27/2005,0,,6.5,0.1,0.1,14,11.66666667
10/27/2005,0,5.9,6.5,1,1.4,14,10.55555556
10/27/2005,0,5,7,0.35,0.35,14,-17.77777778
10/27/2005,0,,6.5,0.6,0.6,9,11.66666667
11/3/2005,0,5.7,6.5,0.5,0.5,14,13.88888889
11/3/2005,0,,6,1.4,1.4,16,15.55555556
11/3/2005,0,,7.5,0.3,0.3,16,15.55555556
11/3/2005,0,5.7,6.5,0.15,0.15,13,15
11/3/2005,0,,7,0.8,0.8,14,15
11/10/2005,0,5.9,6.5,0.9,1.3,17,15
11/10/2005,0,5,7,0.3,0.3,17,15
11/10/2005,0,6.6,6.5,0.5,0.7,18,15
11/10/2005,0,,6.5,0.2,0.2,17,15
11/10/2005,0,,6.5,0.9,0.9,17,15
12/1/2005,0,7.2,6.5,0.45,0.45,11,6.111111111
12/1/2005,0,,6.5,1.3,1.3,11,7.222222222
12/1/2005,0,6.1,7,0.5,0.5,13,7.222222222
12/1/2005,0,,7,0.4,0.4,12,7.777777778
12/1/2005,0,7,6.5,0.9,0.9,10,7.222222222
12/15/2005,0,10,6.5,0.8,0.9,5,7.777777778
12/15/2005,0,7.6,6.5,0.2,0.2,6,7.777777778
1/3/2006,0,5.9,7,0.5,0.5,10,8.888888889
1/3/2006,0,8.1,6.5,1.2,1.6,9,8.888888889
1/3/2006,0,0.8,6,0.6,0.6,9,-17.77777778
1/3/2006,0,,6,0.7,0.9,11,8.888888889
1/3/2006,0,,7,0.3,0.3,11,8.888888889
1/19/2006,0,7.7,6.5,1.1,1.1,9,7.777777778
1/19/2006,0,,6.5,1.4,1.4,10,8.333333333
1/19/2006,0,,7,0.5,0.5,10,8.333333333
1/19/2006,0,5.7,7,0.2,0.2,8,7.777777778
1/19/2006,0,7.5,6.5,0.3,0.7,9,7.222222222
2/2/2006,0,8.2,,1.4,1.4,9,12
2/2/2006,0,8.8,7,0.5,0.5,9,12.22222222
2/2/2006,0,,7,0.2,0.2,9,12.22222222
2/2/2006,0,7.8,6.5,0.5,0.5,7,11
2/2/2006,0,,6.5,1.15,1.15,9,11.11111111
2/9/2006,0,8.6,7,1,1.1,7,4
2/9/2006,0,8.5,7,0.2,0.2,,4
2/9/2006,,,6.5,1.5,1.5,7,5
2/9/2006,0,,7,0.6,0.6,7,4
2/9/2006,0,8.7,6.5,0.4,0.4,7,-1.111111111
3/9/2006,0,8.7,6.5,1.4,1.4,10,13.33333333
3/9/2006,0,,7,1.1,1.1,10,14
3/9/2006,0,9.9,7.5,0.5,0.5,10,14
3/9/2006,1,9.7,6.5,0.2,0.4,10,15
3/9/2006,0,,7,0.3,0.3,11,14
3/15/2006,0,7.8,7,1,1,14,7
3/15/2006,0,7.5,7,0.2,0.6,11,8.888888889
3/15/2006,0,7.7,7,0.2,0.2,12,9
3/15/2006,0,,8,0.4,0.4,14,7
3/15/2006,0,,6.5,1.3,1.3,13,7
4/6/2006,0,6.2,6.5,1.2,1.4,15,15
4/6/2006,0,7.7,6.5,0.5,0.5,13,11.66666667
4/6/2006,0,,7.5,0.4,1.1,17,15
4/6/2006,0,8.2,8,0.4,0.4,14,15
4/6/2006,0,,8,0.25,0.25,17,15
4/12/2006,0,,6.5,1.1,1.3,18,17
4/21/2006,1,6.9,6.5,0.3,0.5,17,17
4/21/2006,0,8,7,0.2,0.2,18,17
4/21/2006,0,,7,0.6,1,19,17
4/21/2006,0,,7,0.3,0.3,18,17
5/5/2006,0,,9,0.1,0.1,21,16
5/5/2006,0,,7,0.9,0.9,21,16
5/5/2006,0,9,8.5,0.1,0.3,19,16
5/5/2006,0,6.6,6.5,1.4,1.4,19,16
5/5/2006,0,7.4,6.5,0.1,0.1,19,16
5/17/2006,0,,8,,,23,21.66666667
5/17/2006,0,,6.5,0.8,0.8,22,21.66666667
5/17/2006,0,,6.5,1.2,1.5,21,21.66666667
5/17/2006,0,,6,0.2,0.2,22,21.66666667
5/17/2006,0,7.3,6.5,0.5,0.8,20,22
6/1/2006,0,4.4,7,0.1,0.1,26,25
6/1/2006,0,6.1,6.5,0.5,0.65,25,25
6/1/2006,0,5,7,0.7,0.7,20,25
6/1/2006,0,,6.5,1.1,1.3,28,25
6/1/2006,0,,9.5,0.2,0.2,29,25
6/16/2006,0,,7,0.5,0.5,22,20
6/16/2006,0,3.8,6,0.4,0.4,23,20
6/16/2006,0,6.8,6.5,0.5,0.7,22,20
7/6/2006,0,6,6.5,0.4,0.8,27,23
7/6/2006,0,,7,0.4,0.4,28,23
7/6/2006,0,3.6,6.5,0.9,1,28,23
7/6/2006,0,,6.5,0.5,1.5,28,23
7/6/2006,0,4.7,6.5,0.2,0.2,27,23
7/18/2006,0,5.3,6,2,5,27,22.77777778
7/18/2006,0,2.7,6.5,0.2,0.2,26,22.77777778
7/18/2006,0,,7,0.8,0.8,31,22.77777778
7/18/2006,0,2.7,6.5,0.15,0.2,29,-17.77777778
7/18/2006,0,,6.5,0.2,0.2,20,22.22222222
7/27/2006,0,,6.5,0.6,1.6,30,26.11111111
7/27/2006,0,6.9,6,0.4,0.6,28,26
7/27/2006,0,,7,0.3,0.3,29,26.11111111
7/27/2006,0,2.9,6.5,0.2,0.2,29,26.11111111
7/27/2006,0,2,6.5,,,28,26.11111111
8/17/2006,0,3.9,5,0.65,1.3,25,26.11111111
8/17/2006,0,,6.5,0.5,0.6,26,26.66666667
8/17/2006,0,7.2,7,0.4,0.55,25,26.11111111
8/17/2006,0,6.8,6.5,0.2,0.2,28,26.66666667
8/17/2006,0,,9,0.1,0.1,30,26.66666667
9/7/2006,0,,6.5,0.7,0.7,24,21.66666667
9/7/2006,0,6.3,7,0.45,0.9,23,21.11111111
9/7/2006,0,3.7,6.5,,,24,21.11111111
9/7/2006,0,,6,0.7,1.65,24,21.66666667
9/7/2006,0,3.5,6.5,0.2,0.2,25,21.11111111
9/21/2006,0,,6.5,0.6,0.9,21,18.88888889
9/21/2006,0,5.8,6.5,0.9,1.5,20,18.88888889
9/21/2006,0,,6.5,0.2,0.2,18,18.88888889
9/21/2006,0,5.2,6.5,0.4,0.4,20,18.88888889
9/21/2006,0,6.3,7,0.5,0.7,19,18.33333333
10/5/2006,0,8.2,7,0.4,0.4,23,22.77777778
10/5/2006,0,,6.5,1,1.4,22,22.77777778
10/5/2006,0,,6.5,0.1,0.1,25,23.33333333
10/5/2006,0,6.3,,0.8,0.8,23,23.33333333
10/5/2006,0,7,7,0.4,0.7,22,22.77777778
10/19/2006,8,0.1,7,0.4,0.7,18,18.33333333
10/19/2006,0,5.3,6.5,0.2,0.6,20,19.44444444
10/19/2006,0,,7,0.8,0.8,21,19.44444444
10/19/2006,0,3.2,,0.2,0.2,,19.44444444
10/19/2006,0,,7.5,0.3,0.3,22,19.44444444
11/6/2006,0,5.9,6.5,1.3,1.3,13,15.55555556
11/6/2006,0,7.6,6.5,0.3,0.3,11,15.55555556
11/6/2006,0,4.9,6.5,0.1,0.1,17,16.11111111
11/6/2006,0,,6.5,0.6,0.6,15,16.11111111
11/6/2006,0,,7,0.2,0.2,19,16.66666667
11/16/2006,0,,6.5,1,1.5,17,18.33333333
11/16/2006,0,7.7,6.5,0.6,0.9,18,18.33333333
11/16/2006,0,,6.5,1,1,18,18.33333333
11/16/2006,0,6,6.5,0.6,0.95,17,18.33333333
11/16/2006,0,6.8,6.5,0.3,0.3,18,18.33333333
11/30/2006,0,6.7,6.5,1.2,1.5,14.5,18.33333333
11/30/2006,0,,6.5,0.6,0.9,15,18.33333333
11/30/2006,0,6.3,6.5,0.5,0.7,14,18.33333333
11/30/2006,0,,7,0.2,0.2,16,18.33333333
11/30/2006,0,6.9,6.5,0.1,0.1,14,18.33333333
12/14/2006,0,7.7,6,0.1,0.2,15,14.44444444
12/14/2006,0,,8,0.2,0.2,13,14.44444444
12/14/2006,0,,6.5,1.4,1.4,13,14.44444444
12/14/2006,0,8,6.5,0.4,0.4,13,10
12/14/2006,0,7.8,,0.65,0.75,13,14.44444444
1/4/2007,0,7.6,5,1.2,1.6,54,-11.11111111
1/4/2007,0,9,6.5,0.6,0.6,12,12.22222222
1/4/2007,0,,7,0.2,0.2,13,13.33333333
1/4/2007,0,,6.5,0.6,0.9,14,13.33333333
1/18/2007,0,9.8,7,0.7,0.7,7,8.333333333
1/18/2007,0,,6,0.9,0.9,7,13.88888889
1/18/2007,0,6.8,7,0.3,0.3,6,8.333333333
1/18/2007,0,10.1,6.5,0.2,0.2,6,8.333333333
2/2/2007,0,10,6.5,2,2,5,6.111111111
2/2/2007,0,8.1,6.5,0.45,0.45,5,5.555555556
2/2/2007,0,9.3,8,0.2,0.2,5,6.111111111
2/2/2007,0,,7,0.3,0.3,5,6.111111111
2/2/2007,0,,7,0.7,0.7,5,6.111111111
2/15/2007,0,,6.5,1.9,1.9,4,-3.333333333
2/15/2007,0,8.8,7,1,1,5,-3.333333333
2/15/2007,0,,7,0.5,0.5,4,-3.333333333
2/15/2007,0,9.3,6.5,0.3,0.3,3,-3.333333333
2/15/2007,0,10,6.5,0.2,0.2,2,-3.333333333
3/1/2007,,8.8,6,1.4,1.4,10,10
3/1/2007,,7.7,7,0.4,0.4,,8.888888889
3/1/2007,,,6.5,0.3,0.3,10,8.888888889
